Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
GAME,133,0.008546256384041558,-1.2031,-59.892,-33.3333,-20.6107,33.9423,19.1765,1.2031,0.1936
NUVB,19,0.008545321783298879,-1.498,96.3415,44.3946,3.871,31.3665,7.5314,1.498,0.1719
BAER,123,0.00854458765367871,-0.4009,-59.8507,-45.6566,-36.2559,24.1636,10.917,0.4009,-0.0098
CNTY,65,0.008544409158303392,-2.014,-62.5,-15.1724,-7.8652,-0.4065,-2.0661,2.014,0.2713
VELO,66,0.008463182797619288,-2.3099,-97.7577,-85.941,-76.381,31.8548,-14.1892,2.3099,-0.1491
ACHC,78,0.008387411121238962,-1.4088,5.7161,-2.4527,18.9287,28.2314,22.325,1.4088,-0.3066
MGX,14,0.008308688221993184,,,-75.25,-53.4483,31.6498,2.8708,,0.867
EEX,123,0.008232068048121034,-1.3089,28.253,-2.5187,-2.3477,20.3604,9.2402,1.3089,0.0759
BMRN,19,0.008155029735139584,-0.9637,-1.9564,4.6706,21.4999,23.6268,-0.9273,0.9637,-0.0455
CGNT,33,0.00807623115217826,-1.2462,60.251,1.1889,0.7895,15.2742,2.8443,1.2462,0.3297
ETHZ,19,0.007998607198163863,-1.5036,-85.8028,-43.9629,11.7284,22.0994,24.5989,1.5036,0.2199
KHC,107,0.00792252729298455,-0.7754,13.8511,4.383,2.5016,2.9918,0.4345,0.7754,-0.0934
IDYA,19,0.007844063966465312,-1.0515,32.6839,-14.5392,8.0711,19.7468,-4.3793,1.0515,-0.2063
PDS,95,0.0077664528316367795,-1.1934,6.1042,17.0443,-3.0177,13.3453,-0.0479,1.1934,0.0069
KOS,95,0.007688478654938675,-1.3382,-35.4111,-22.08,-20.1639,12.3203,-8.1013,1.3382,-0.1288
EVH,102,0.007609767532925227,-1.6144,22.6227,-7.0619,50.9202,16.8856,4.0433,1.6144,-0.5677
SLNHP,45,0.007533767131957741,-0.7836,296.6667,103.4188,98.9966,19.6639,0.4167,0.7836,0.841
ROOT,118,0.007453961832439673,-2.0513,267.4576,10.8668,-14.7128,9.3404,-2.1039,2.0513,0.868
