Ticker,Industry,Score,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,HML_3,HML_5,PB,NCAV,IA_G,IE_G,Beta,Performance
EGAN,33,0.005898748381181595,,6.4769,3.4332,,-25.1077,-65.668,,999999.0,999999.0,999999.0,,,,58.1536,31.3031,999999.0,-150.5418,,,1.1985,1.9629
IMRX,19,0.00589792545786704,,-521.163,-100.8068,,-1083.5701,-1108.0678,,,-977.9121,-117.9849,,,,79.0323,,-117.0406,-34.5519,-6.7408,54.3078,1.2292,2.9487
USAU,82,0.005896680884320839,,-11.6351,-13.7122,,-179.9315,-237.1216,,,-304.4415,-141.9546,,,,-35.7759,-96.0581,-1035.2462,-103.0496,71.2478,33.6426,1.173,0.9513
SGML,82,0.005895711245535348,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,,999999.0,999999.0,999999.0,,,,36.1236,-719.8347,999999.0,999999.0,,,1.0699,-0.3609
BEAT,79,0.005893482298957642,,-39.4064,-29.4425,,-396.5727,-394.4248,,999999.0,999999.0,-940.653,,,,-7.6923,,-3194.8831,-97.0838,,89.6216,0.8089,-0.0867
BEDU,102,0.005892373155076922,,,,,,,,,,,,,,26.7544,90.8584,-228.4294,-227.7657,90.3508,61.6571,0.7796,0.3234
SNWV,79,0.0057028410577353115,8.0912,1.7853,-8.6964,-37.1138,-90.1966,-186.9639,59.9863,1044.2365,184.3301,999999.0,75.2283,16.5993,,,,999999.0,-108.239,,,,-0.0676
OVID,19,0.005021638550578471,999999.0,999999.0,-87.5868,,-1930.7191,-975.8683,44.3878,,-326.7586,-30.9946,,,,89.4081,88.1944,-35.3873,44.4041,,22.2921,1.3089,4.1471
ZK,9,0.004966521784053028,2.8669,-1.488,-1.0519,-78.3711,-113.8009,-110.5194,46.9108,999999.0,999999.0,999999.0,16.3971,,,,,999999.0,-104.1378,,,,0.2083
RWAY,55,0.004933153496977536,,,16.1483,,,61.4833,53.7154,,,11.4373,,,68.5612,-14.6497,,-70.8266,-258.0868,5.8863,5.8863,0.7404,-0.0148
BBAR,30,0.004887870336538855,,,2.2949,,,-77.0505,,,,13.4896,,,10.2809,-583.6716,-870.2876,-587.7955,-178.722,7.4921,15.0942,1.2399,-0.4919
MSCI,123,0.004848927385575135,4.8183,3.1451,2.4383,-67.1226,-81.7439,-75.6171,12.9386,73.9896,38.636,999999.0,81.9902,53.5171,37.9862,-15.3837,-110.5591,999999.0,-111.1822,4.386,,1.1312,-0.0328
ATOS,19,0.004713042831321815,,-153.0817,-22.8922,,-268.1684,-328.922,,,-5622.5954,-28.5451,,,,44.3548,41.5254,-124.6937,-21.8994,84.6244,21.4677,1.1853,0.4928
WINA,105,0.0047006405762723006,6.558,4.4575,3.5956,-49.5275,-67.0358,-64.0437,-2.5997,999999.0,999999.0,999999.0,98.378,66.8677,51.7694,-61.91,-198.1382,999999.0,-105.4861,,,1.0164,0.3998
BWMX,27,0.004688279836851268,80.1287,15.4962,12.7141,870.6581,38.573,27.1407,8.3881,168.3444,26.045,81.2478,67.9434,13.1396,6.6991,17.2032,-103.7328,-639.0382,-161.9884,5.8482,20.5211,0.8478,0.1677
EVN,71,0.004456599466146229,,,7.3928,,,-26.0718,156.2161,,,6.4672,,,76.284,-3.0177,-16.2223,-87.4792,-149.1902,-3.2083,-3.2083,0.5419,0.1014
NRDS,45,0.004418089825296159,97.9637,1.4755,0.5689,619.5272,-79.9167,-94.3107,14.7147,209.2891,2.5218,1.0983,90.765,1.3671,0.5817,20.2521,,-193.0458,-82.1782,-12.7837,0.7359,1.3461,0.1475
BBIO,19,0.004306381842195193,2.8575,-7.5672,-6.5927,-89.4576,-186.1715,-165.9269,2285.2736,999999.0,999999.0,999999.0,98.2524,,,-219.0783,-39.9353,999999.0,-124.6456,,,1.0354,0.632
IVVD,14,0.0042944160657306255,66836.6392,-497424.7833,-195.9226,273.9694,-2039.4214,-2059.2256,,999999.0,999999.0,-201.2763,93.6259,,,87.1903,,-102.7326,-44.2167,,61.943,1.4546,1.8152
MGF,145,0.004238282837316965,,,5.2225,,,-47.7748,740.1918,,,4.8664,,,76.6922,-4.7586,-0.1303,-93.1803,-103.5708,1.2636,1.2636,0.5093,0.0146
BARK,105,0.0042084809140609716,159.3001,-18.5407,-10.9129,923.71,-195.3175,-209.1292,-1.2244,628.134,-58.4862,-26.4277,62.3708,,,61.5176,,-242.1686,-79.0209,10.6608,28.5953,1.5311,-0.4789
OUST,66,0.004118500896279495,13.6312,-35.0977,-16.4675,5.729,-241.0697,-264.6746,33.4082,455.1693,-937.5813,-42.6765,36.4173,,,79.819,,-259.1562,-73.1494,73.4641,-0.6896,1.9258,3.1289
SATL,121,0.0041153635838219555,1.9413,-12.3127,-26.104,-98.2188,-230.8127,-361.0403,27.7546,221.3258,-1122.9788,999999.0,60.9635,,,58.9103,,999999.0,-124.7377,87.4286,,1.3425,0.0801
AKA,27,0.004101516983416817,132.9789,-4.1907,-10.9148,1495.1443,-207.1317,-209.1479,5.2061,159.6394,-4.0247,-14.7311,56.9874,,,71.6895,,-134.9647,-171.0323,6.8134,20.8481,1.8618,-0.1465
ACIU,19,0.004090507705585968,999999.0,999999.0,-26.9471,,-267.7381,-369.4712,84.5078,999999.0,999999.0,-36.279,,,,55.1313,75.1979,-134.6302,-64.7031,,30.1121,1.1433,0.633
WK,33,0.0040858782643823375,13.4018,-1.8102,-0.9242,7.1273,-113.103,-109.2424,17.2435,999999.0,999999.0,999999.0,76.7078,,,36.9677,-148.2936,999999.0,-107.9381,,,1.2326,0.1343
BBNX,79,0.004063583737628864,8.6921,-10.9598,-8.4818,-24.3537,-150.0398,-184.8182,442.9262,999999.0,999999.0,999999.0,55.1072,,,,,999999.0,-150.543,,,,0.8539
SKM,139,0.004037631285350589,118.0822,13.8485,22.1943,1763.527,22.5246,121.9431,1.886,84.1411,7.8944,11.9163,87.266,10.2345,7.856,1.874,-67.5274,-53.6906,-273.9391,4.6885,3.2773,0.7224,-0.0014
EHTH,137,0.0040279153988773235,287.7598,17.9213,7.7958,2048.9379,40.354,-22.0416,14.2906,92.3379,4.6005,2.6256,114.9398,7.1583,3.3466,45.124,95.0444,-33.6791,-206.5722,-4.0775,2.9046,1.2728,-0.25
MHD,70,0.004009971815785197,,,3.624,,,-63.7601,,,,3.0329,,,79.9829,3.8265,1.341,-83.6883,-155.866,1.3041,1.3041,0.552,0.0369
