Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
TMCWW,82,0.00843512282569067,999999.0,-184.7485,-1.4968,,-84.2016,-74.2446,,-846.3338,-842.4457,,999999.0,999999.0,999999.0,,,,0.0,1.4968,4.7143
CRML,82,0.008432085131455939,999999.0,-155.2402,-0.7662,,-2.5303,-87.2329,,-132.4576,-972.3294,,999999.0,999999.0,999999.0,,,,0.0,0.7662,1.1677
NREF,124,0.008430841392608305,-57.7002,-2147.5864,-0.8686,,,11.7972,,,17.9716,,,,6.807,,,98.5227,2.0794,0.8686,-0.0338
ASA,114,0.008430538565621221,-120.1778,-100.2332,-0.8249,,,17.2801,,,72.801,998.8973,,,20.7668,,,77.5517,2.1972,0.8249,0.1425
AGNCM,124,0.008426045071443506,-218.9193,-466.1661,-0.4997,,,3.2306,,,-67.6944,287.6494,,,7.0723,,,70.9558,2.1972,0.4997,0.0082
AGNCP,124,0.008426030103336134,-219.0592,-465.9322,-0.4961,,,3.2285,,,-67.715,287.6494,,,7.0723,,,70.9558,2.1972,0.4961,0.0205
DX,124,0.008364609657426234,-83.9813,-803.3935,-0.8032,,,9.1565,,,-8.4352,462.2491,,,7.6897,,,60.5857,2.1972,0.8032,0.0226
AVR,67,0.008276878090720672,-694.1466,-90.4007,,,,,,,,,999999.0,999999.0,,,,,,,0.0164
LUNR,66,0.008205822586628575,-21309.8132,-106.482,-0.8578,0.1687,-3.19,-33.2123,-193.7606,-246.5359,-432.1231,186.6086,999999.0,999999.0,-7077.4802,1.2145,,,2.1972,0.8578,0.2896
PLSE,79,0.00810708134299675,-960.2322,-90.6376,-1.4418,,-5.7119,-3.8867,,-130.1029,-138.867,,999999.0,999999.0,-37.3213,,,,0.0,1.4418,-0.0843
REAX,123,0.007751803618123191,-2671.1754,-97.8501,-1.1021,13.8951,-1.9347,-2.4648,10.7338,-111.0622,-124.6477,83.5049,999999.0,999999.0,-65.8383,9.073,,,2.3026,1.1021,0.0071
XOMA,19,0.007688146093855829,-288.5927,-104.9387,-0.8849,,-3.6353,-6.5914,,-136.254,-165.9138,114.7961,,-7.639,-19.0222,,,,2.0794,0.8849,0.32
XOMAP,19,0.007686403972470186,-357.0866,-103.9914,-0.4659,,-2.968,-5.3271,,-129.3,-153.2706,114.7961,,-7.639,-19.0222,,,,2.0794,0.4659,0.0172
VANI,16,0.007674280129840799,-339.7333,-102.7947,-0.7542,,-59.4984,-31.4052,,-399.3028,-414.052,,999999.0,999999.0,-106.6939,,,,0.0,0.7542,0.2574
BKKT,55,0.0075746736866488616,-106.1788,-133.7551,-2.785,153.6068,-147.7671,-123.8026,958.1814,-1088.2887,-1338.0258,347.3861,365.5394,-281.3141,-131.4521,2.4931,,,2.3026,2.785,0.8176
AMBC,118,0.007387462988765274,-32.1322,-1886.5156,-1.041,,,-12.4629,,,-224.6292,89.0634,,,-4.0046,,,,2.1972,1.041,-0.1416
GOTU,102,0.007310612164554442,-189.578,-106.7986,-0.7733,620.8929,-236.811,-22.7056,662.6809,-271.5574,-327.0564,53.7941,999999.0,999999.0,-43.0449,68.0488,,,2.1972,0.7733,0.1738
NBN,73,0.00721879537759396,-157.6815,-585.6036,-0.9183,,,12.9019,,,29.0186,35.1032,,,20.3438,,,49.2269,2.1972,0.9183,0.0315
ETV,70,0.0070825526498094924,-85.2106,-100.7772,-0.8417,,,18.345,,,83.4498,33.5274,,,15.6319,,,79.6966,2.1972,0.8417,0.0651
SMR,81,0.006922783917365317,-409.6376,-79.368,-1.7443,2.5707,-11.1067,-14.9321,-53.4523,-127.0813,-249.3207,62.4068,277.6548,-959.7025,-61.1674,86.673,,,2.0794,1.7443,1.3302
NTRA,78,0.006760152239371049,-1588.9735,-94.9505,-1.208,5.6506,-1.2277,-0.7991,-52.2336,-104.6878,-107.9908,56.7482,332.7278,-57.8315,-12.6972,60.2953,,,2.3026,1.208,0.1283
ZS,45,0.006733488795611819,-1821.5489,-98.7107,-1.3247,6.6496,-0.4114,-0.0446,-44.13,-97.3927,-100.4465,23.3117,999999.0,999999.0,-0.8133,76.8742,,,2.3026,1.3247,0.4941
