Ticker,Industry,Score,PB,NCAV,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BAB_1,BIG,Beta,Performance
REAX,123,0.009003508885433976,-1179.9472,-97.145,12.9873,-8.0265,-6.1508,3.6259,-152.7413,-161.5082,213.7351,868.9149,-429.6111,-72.5764,8.3692,,,,2.1972,,0.0476
NB,82,0.009003339833021927,999999.0,-122.1615,,-30.7366,-29.167,,-377.9384,-391.6701,,999999.0,999999.0,999999.0,,,,,0.0,,-0.1148
TMCWW,82,0.009003339833021927,-77.1412,-111.4625,999999.0,999999.0,-426.9846,,-4304.1443,-4369.8459,,999999.0,999999.0,-329.381,,,,,0.0,,0.0833
AIRJ,66,0.009003160369757521,-10897.9547,-99.0777,,-0.5012,-0.3972,,-103.0459,-103.9725,,999999.0,999999.0,-43.2919,,,,,0.0,,0.0132
SRRK,14,0.008908385279439551,-129.4619,-27.9459,,-188.4884,-31.9382,,-340.2287,-419.3824,76.4084,999999.0,999999.0,-41.3479,,,,-0.8455,2.0794,0.8455,1.684
MNDY,33,0.00848375534899842,-1130.6264,-92.6111,6.655,-2.2357,-1.3476,-41.37,-104.2968,-113.4762,68.4339,999999.0,999999.0,-15.2365,87.1822,,,,2.1972,,0.105
DX,124,0.008336160292992386,-52.2425,-674.228,,,24.3225,,,143.2246,38.6199,,,12.7067,,,64.7052,-1.0023,2.1972,1.0023,0.1055
CRWD,33,0.008296787494619689,-2687.4222,-99.4421,4.3121,-0.4999,-0.32,-62.3236,-98.9501,-103.1998,54.3983,999999.0,999999.0,-8.5991,73.1741,,,-1.1244,2.3026,1.1244,0.4562
ZS,45,0.008281750353299335,-3265.4294,-99.583,5.5219,-1.033,-0.6168,-53.5475,-103.8471,-106.1682,48.2156,999999.0,999999.0,-20.1419,77.5607,,,-1.3183,2.3026,1.3183,0.32
PRCT,79,0.008198769995743727,-719.7156,-88.258,2.9722,-6.4698,-4.9158,-67.0516,-133.4997,-149.1577,117.6022,140.3353,-244.3775,-35.3796,49.4374,,,,2.0794,,0.3097
ARHS,105,0.007426891988698715,-586.1326,-119.8832,48.4412,17.0375,11.8838,253.5665,32.0121,18.8378,54.2093,813.8683,228.9996,69.6547,42.725,15.027,11.8854,,2.3026,,0.2712
DLO,123,0.007369447021115369,-1385.6418,-93.8371,3.823,2.5234,1.7378,-66.2927,-76.2215,-82.6222,71.8031,134.3374,70.9375,24.0795,48.6629,32.1208,23.1623,,2.1972,,-0.1157
SPT,33,0.007177410558739891,-1909.6603,-96.6779,7.6207,-2.0302,-1.4679,-36.5523,-108.8502,-114.6788,35.1162,999999.0,999999.0,-28.0315,76.4179,,,-1.6082,2.1972,1.6082,0.1905
OMEX,75,0.0070700256572213405,999999.0,-235.2407,-16.9735,-35.9648,-32.7335,-160.5904,-264.0672,-427.3352,30.2082,999999.0,999999.0,999999.0,,,,-0.6698,1.9459,0.6698,0.2386
FRSH,33,0.0070276299321432294,-532.3864,-82.3648,9.0342,-5.2417,-3.1543,-22.0445,-112.8486,-131.5429,34.2236,999999.0,999999.0,-16.793,80.7686,,,,2.1972,,0.1399
