Ticker,Industry,Score,IV0,GP_EV,PB,NCAV,GPOA,REV_G,IE_G,OMGN,Beta,Performance
ODV,114,0.033324840144403726,-183.2975,1.6841,-71.0103,-117.3308,1.1281,736.0005,-25.0311,,0.4648,-0.5596
LOCL,52,0.03284387919540653,-906.5521,1.1732,-68.1178,-245.7022,0.9737,2952.3511,-19.3248,,,-0.7288
OR,114,0.03180321967976353,,999999.0,999999.0,999999.0,999999.0,,,39.4825,0.7025,0.0505
CBAT,66,0.03009318372356853,-153.7567,19.1946,-62.9626,-92.2709,13.559,372.2361,11.716,,0.8165,0.1932
ASM,82,0.029906902042790114,2.9326,15.2143,-107.4444,-96.1251,16.4249,289.4361,-24.8564,20.1911,0.8451,-0.1461
IMPPP,75,0.029386572284968614,98.7087,22.5952,-72.2711,-75.4644,14.6663,458.937,-191.1283,30.9987,,0.349
NN,66,0.029146284267270166,-255.8217,-4.7924,-207.9903,-79.2424,-16.2749,430.5405,-3.9087,,,2.4631
MRNO,65,0.02890576412744005,-144.2025,-0.1075,-181.9081,-164.6886,-0.1614,320.5858,-97.7999,,,0.2069
LOT,9,0.02820444111485129,-156.2898,0.0345,999999.0,-114.3922,999999.0,159.208,,,,-0.3134
RCL,75,0.025937800617636245,-258.3073,5.8694,-572.8528,-265.7789,9.1429,477.0235,43.5853,,1.4806,1.1049
OSW,65,0.02578707273992097,-100.462,6.5127,-301.3699,-120.8247,15.2906,279.2649,-24.4655,2.7712,0.9163,0.0892
CUK,75,0.025087050261091513,-591.1036,-4.4318,-163.0783,-416.801,-4.9573,537.7883,41.8314,,1.6135,0.5235
ZEO,66,0.024562323705910917,93.4502,34.4318,-168.7664,-100.9124,59.0685,261.7937,-1.4935,9.7183,,-0.4476
TYGO,132,0.02430225863308953,-97.9139,4.1859,999999.0,-109.0086,999999.0,86.3411,,,,-0.9043
AZ,66,0.02251558695548683,-352.079,5.0051,-1381.7744,-107.1719,91.2892,248.2682,73.5124,,,-0.6403
LI,9,0.022107058194839584,-92.4369,2.9272,-767.627,-92.1206,999999.0,68.806,-10.0379,,,0.2441
GTLB,33,0.021988844991935323,-106.8725,8.6669,-628.4189,-85.042,999999.0,67.9521,-3.1849,,,0.6101
ARBE,45,0.021972649909957,-211.3682,1.4883,-419.8167,-76.6291,999999.0,56.3806,38.9236,,,-0.373
LITB,27,0.0199394703435469,-99.0184,13.0984,-56466.9811,-102.0108,999999.0,12.8816,93.9323,,0.5831,-0.5901
NSP,116,0.019352774852933956,57.0175,25.9099,-5288.8014,-108.9424,999999.0,20.4339,,0.623,0.8249,-0.1002
RDCM,35,0.01929768762124162,-65.4765,44.501,-204.1273,-60.1312,999999.0,14.3215,-3.7475,,0.6541,0.1111
BRZE,33,0.019167540807358156,-111.7346,8.435,-742.655,-90.0551,999999.0,49.3167,11.5012,,,0.2508
RSSS,45,0.018930849053089793,-69.7294,32.151,-808.5396,-87.8564,999999.0,14.4813,-50.1005,0.3094,0.5343,0.5323
SOUN,33,0.018794958002682948,-217.8214,3.7261,999999.0,-110.1413,999999.0,46.8557,,,,0.9493
CPNG,27,0.018341096663976618,-89.7135,18.3306,-1174.8847,-103.4025,999999.0,11.2203,-10.9397,,,0.1394
ARLO,37,0.018012032074255883,-136.6186,32.0134,-614.238,-89.8228,999999.0,12.7034,22.1541,,1.0872,1.0083
IHG,65,0.017824499713751808,-38.8915,8.5529,999999.0,-137.212,999999.0,33.8837,,17.6516,0.9855,0.5654
LUNR,66,0.017352217940138085,-112.3097,5.5097,999999.0,-139.3254,999999.0,18.4645,,,,-0.412
DCBO,33,0.01731744993049003,-86.598,10.2036,-697.6263,-87.1635,999999.0,37.0964,-0.8156,,,0.1593
UP,143,0.017304292495210087,-1301.4324,999999.0,-62.6514,-631.1671,999999.0,32.2795,65.7823,,,-0.5861
SEMR,33,0.01704150247901441,-93.2223,17.358,-711.8164,-88.2006,999999.0,35.2737,11.3673,,,0.3184
WINA,105,0.016078943353806406,-52.1327,6.9686,999999.0,-107.1035,999999.0,3.9964,,67.3673,0.7958,0.129
QLYS,33,0.015833800447808227,-61.6398,8.5294,-1680.1523,-98.1115,999999.0,19.1042,33.7944,26.6573,0.951,0.2783
COUR,33,0.015655527752496675,-111.3898,35.8841,-245.3614,-62.4108,999999.0,26.119,6.33,,,0.1927
QBTS,45,0.015592036909372263,-589.5136,4.1814,999999.0,-154.4112,999999.0,14.2351,,,,1.7711
CXM,33,0.015569050995881286,-91.4062,16.0053,-622.2263,-88.5917,999999.0,25.5478,-6.4909,,,-0.0579
JMIA,27,0.015496113394568984,-237.6938,26.3774,-379.9477,-79.5357,999999.0,20.7708,57.7664,,1.4638,0.5471
YALA,34,0.015257671023807512,117.0891,117.4922,-139.7241,-31.8758,999999.0,11.1552,-30.9588,26.0273,,0.2208
VRSN,45,0.014934095442116973,-58.2038,5.3374,999999.0,-110.1927,999999.0,7.329,,66.1871,0.9895,-0.0942
DBX,33,0.01475587114041092,-48.0979,24.7962,999999.0,-124.3195,999999.0,7.739,,15.334,0.8506,0.1055
TZOO,2,0.014747136515281688,8.1792,75.0373,-1071.659,-123.9235,999999.0,12.5765,-2305.163,10.7041,1.087,0.6523
WK,33,0.01472404290038418,-107.7709,7.6956,-90124.2043,-103.6273,999999.0,21.3384,91.8018,,1.1772,-0.2055
TEAM,33,0.014677672702430825,-101.8875,6.7502,-6734.3196,-101.292,999999.0,28.1864,-99.978,,1.3464,0.1452
BZ,34,0.014438140248404086,-89.005,3.6995,-985.7025,-90.6904,999999.0,5.742,-9.0566,,,-0.0142
RBLX,33,0.014114115900599003,-112.1601,6.654,-8916.4313,-104.4908,999999.0,15.9376,48.554,,,-0.1827
TZUP,45,0.013282174915267998,-108.4247,0.0033,-7682.0105,-98.7025,999999.0,-1.0221,-337.3344,,,-0.5
AISP,33,0.0132637005692615,-105.6581,3.04,999999.0,-103.7068,999999.0,10.3204,,,,-0.1192
SOGP,34,0.013011058149992545,-96.9537,1.3824,-13351.1799,-99.345,999999.0,3.1022,-54.0735,3.7071,1.2496,-0.5424
UUUU,84,0.012921964889552535,-122.204,0.5775,-359.9984,-86.8638,2.7574,293.059,17.297,,1.2665,0.1774
DOMO,33,0.011248829533980731,-212.9343,43.6119,999999.0,-142.9375,999999.0,19.6479,,,1.6801,-0.3643
STNE,45,0.0,191.6187,50.9311,-123.4074,-89.1802,67.706,97.0153,4.9694,41.1918,1.5123,0.7023
OLPX,106,0.0,38.6126,16.6745,-355.4473,-113.8955,46.3506,17.6997,-48.9529,52.1783,,-0.5457
PAYX,42,0.0,-41.553,9.4634,-1097.6499,-98.0056,131.3318,7.758,-13.2244,41.4301,0.9691,0.0984
CABO,26,0.0,-49.062,16.6334,-220.6344,-225.1058,23.1719,4.9897,3.1333,33.228,0.9892,-0.3829
TKO,133,0.0,-54.5034,8.2903,-1250.3265,-137.6315,25.7997,10.4854,54.0102,47.7471,0.665,0.0323
