Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,IV0,IV1,IV2,Beta,Performance
AOMR,123,0.03085398107861019,-56.0035,-2146.0607,,,,-115.5511,,,-1255.5115,,,,-64.7127,,,,0.0,108.7561,360.6091,2632.713,,0.6486
ETV,70,0.03082119520523305,-83.5937,-101.0208,-0.8798,,,-21.3286,,,-313.2865,,,,-17.8294,,,,0.0,164.544,492.7218,2419.853,0.8798,0.1178
INSW,75,0.030796534647879244,-103.7236,-130.8442,-0.7397,20.9786,18.912,20.1136,98.5834,74.5541,101.1361,217.2547,21.5099,15.5127,20.8626,54.416,49.0554,35.8964,2.1972,118.3229,552.2479,3552.8153,0.7397,0.4771
MLCI,71,0.03075774965724586,-179.2463,-864.3158,-0.6366,59.3891,16.2725,34.9417,164.0663,13.1999,249.4173,128.4691,999999.0,999999.0,62.6318,57.5098,15.7575,77.3611,2.0794,205.3648,794.3367,6348.1325,0.6366,-0.1551
XFLT,71,0.02815277231375488,-69.5073,-213.0277,-0.7157,,,-18.616,,,-286.1595,,,,-12.9394,,,,0.0,46.3742,255.3052,1731.0071,0.7157,0.2789
XYF,55,0.024631848494267826,-117.9121,-172.8752,-0.7503,,,17.4126,,,74.1259,-1.4431,,,20.5316,,,65.4928,2.1972,256.1781,887.1748,5148.2199,0.7503,0.2802
EFSI,73,0.024394680817375117,-105.8528,-1506.8966,-0.4674,,,13.1282,,,31.2817,20.1499,,,13.8965,,,23.0782,2.0794,31.9944,188.6072,1810.9461,0.4674,-0.095
UGP,98,0.023539016339872133,-125.7918,-137.2275,-1.0005,34.3964,15.4833,9.8189,244.6901,33.3378,-1.8107,30.8949,41.3705,14.8981,12.3514,5.123,2.3061,1.0469,2.3979,91.5397,432.8785,4770.1476,1.0005,1.1016
NMIH,118,0.02353394073353646,-115.6124,-148.3635,-0.9231,,,16.1789,,,61.7886,7.9936,,,18.7048,,,57.5535,2.1972,142.2034,460.0727,2768.014,0.9231,0.4138
CUK,75,0.022699983280837683,-163.0783,-416.801,-1.6135,-4.4318,-10.4147,-42.2228,-494.2847,-668.9397,-522.2277,537.7883,-4.9573,-9.3196,-68.8562,,,,2.3979,-45.2991,385.5009,3698.3714,1.6135,0.5235
