Ticker,Industry,Score,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BAB_1,HML_3,HML_5,UMD_3,UMD_12,IV0,IV1,IV2,Beta,Performance
ATCH,55,0.008695640928634174,999999.0,999999.0,1122.5851,50585.588,30378.3734,11125.8507,,999999.0,999999.0,2.8228,,,,-0.9028,99.907,,-78.1586,-97.134,,,,0.9028,-0.2572
MQT,70,0.008051343697645682,,,3.647,,,-63.5296,,,,3.0545,,,78.8086,-0.5253,2.7572,-8.0382,-1.4218,4.6527,,,,0.5253,0.0403
TMCWW,82,0.007433713458184578,,-84.2016,-74.2446,,-846.3338,-842.4457,,999999.0,999999.0,999999.0,,,,-1.4968,52.302,,174.2857,32.4138,,,,1.4968,7.1853
TREE,55,0.007358665850201164,80.1262,4.5371,-4.1769,814.8767,-95.9505,-141.7686,33.8712,183.3609,8.3062,-27.4829,96.0142,5.4368,,-2.0014,56.3154,64.2556,-1.2711,1.0255,-98.927,-32.3423,830.607,2.0014,0.0643
CXE,71,0.0073053397562977,,,11.5668,,,15.6683,564.2154,,,9.5638,,,80.4112,-0.5566,1.2012,-7.9049,-0.2668,12.2092,30.5692,296.0251,2233.5007,0.5566,0.0411
MDAI,79,0.007278861366492573,49.5717,-24.5804,-41.2908,272.4587,-272.5232,-512.9083,63.8292,999999.0,999999.0,999999.0,44.8734,,,-0.5753,86.8031,,-20.9091,-13.4328,-211.2726,-289.0866,781.0835,0.5753,0.7287
KROS,19,0.0072439129782943985,999999.0,999999.0,-36.7519,,-374.2911,-467.5189,2250.9934,,-1442.7465,-26.1817,,,,-1.7294,83.1119,,-80.4689,-83.907,-170.7367,-358.7914,39.4393,1.7294,0.5637
BSBR,30,0.0071989840629834625,,,8.065,,,-19.35,21.4005,,,12.8119,,,31.6421,-0.8542,27.6038,-40.3124,8.1096,-19.786,-16.1334,81.4393,899.4995,0.8542,0.0952
LOOP,74,0.0068589743342311865,,-13.3278,-22.7884,,-167.9702,-327.8839,7016.9935,999999.0,999999.0,-3282.1798,,,,-1.3085,87.5978,83.8428,-4.3165,-56.5359,-139.3242,-184.5656,101.7749,1.3085,0.4775
CIM,124,0.006742718109990575,,,14.3746,,,43.7462,25.9616,,,5.5772,,,54.624,-1.2067,48.8616,1.8824,-1.1688,19.9806,54.3787,244.9731,1809.6493,1.2067,0.056
MIND,66,0.006349161468190073,51.0817,16.6106,12.1737,273.1445,29.1017,21.7368,28.3566,95.3219,24.7972,20.6586,44.7411,14.5488,12.0487,-1.1748,53.8095,38.0851,108.2688,33.2231,25.7692,164.6737,1648.9734,1.1748,0.6735
TLSI,78,0.006120804073673213,13.5783,-19.388,-13.8929,9.3023,-275.1005,-238.9293,58.992,999999.0,999999.0,999999.0,86.0589,,,-0.6478,43.5714,,35.8491,-38.1974,-210.9537,-288.4547,27.1381,0.6478,-0.2188
SMTI,67,0.00609586784962327,28.2954,-3.118,-3.0124,133.2372,-131.7411,-130.1244,33.363,146.1806,-12.8867,-20.3781,90.6084,,,-1.1603,-6.2169,-275.875,-4.1448,-10.96,-121.1286,-131.8431,-32.8819,1.1603,-0.007
BLZE,33,0.00600903509407908,32.5506,-21.7287,-14.488,127.5302,-217.709,-244.8797,25.1022,305.3816,-163.0827,-50.0116,54.3321,,,-1.7462,53.7327,,-2.6786,-41.8149,-151.3771,-211.5716,25.4566,1.7462,0.8805
STOK,19,0.00568388341497227,,-72.5549,-19.9612,,-266.587,-299.6115,316.344,,-669.0117,-31.0822,,,,-1.2154,69.7387,68.5114,-34.9627,2.8834,-155.7524,-257.8347,-16.5906,1.2154,3.5811
DNTH,19,0.0056679857799311305,,-36.3179,-12.2319,,-197.112,-222.3192,120.6299,,-105.5093,-19.285,,,,-1.1811,62.5419,82.6669,-15.9533,-16.1165,-124.6502,-191.5767,-47.9989,1.1811,0.9295
