Symbol,Sector,Industry
A,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Industrials,Aluminum
AAL,Consumer Discretionary,Air Freight/Delivery Services
AAME,Finance,Life Insurance
AAMI,Finance,Investment Managers
AAOI,Technology,Semiconductors
AAON,Industrials,Industrial Machinery/Components
AAP,Consumer Discretionary,Auto & Home Supply Stores
AAPG,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,Technology,Computer Manufacturing
AARD,Health Care,Biotechnology: Pharmaceutical Preparations
AAT,Real Estate,Real Estate Investment Trusts
AB,Finance,Investment Managers
ABAT,Basic Materials,Metal Mining
ABBV,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Finance,Major Banks
ABCL,Health Care,Biotechnology: Pharmaceutical Preparations
ABEO,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Consumer Staples,Beverages (Production/Distribution)
ABG,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Finance,Investment Managers
ABLLL,Finance,Investment Managers
ABM,Consumer Discretionary,Diversified Commercial Services
ABNB,Consumer Discretionary,Diversified Commercial Services
ABOS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABR,Real Estate,Real Estate Investment Trusts
ABSI,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Health Care,Biotechnology: Pharmaceutical Preparations
ABTC,Technology,EDP Services
ABUS,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Consumer Staples,Packaged Foods
ABVX,Health Care,Biotechnology: Pharmaceutical Preparations
ACA,Industrials,Metal Fabrications
ACAD,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Health Care, Medicinal Chemicals and Botanical Products 
ACCO,Consumer Discretionary,Publishing
ACDC,Energy,Oilfield Services/Equipment
ACEL,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Health Care,Biotechnology: Pharmaceutical Preparations
ACFN,Consumer Discretionary,Military/Government/Technical
ACGL,Finance,Property-Casualty Insurers
ACGLN,Finance,Property-Casualty Insurers
ACGLO,Finance,Property-Casualty Insurers
ACHC,Health Care,Medical Specialities
ACHR,Industrials,Aerospace
ACHV,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Consumer Staples,Food Chains
ACIC,Finance,Property-Casualty Insurers
ACIU,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,Technology,Computer Software: Prepackaged Software
ACLS,Technology,Industrial Machinery/Components
ACLX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,Consumer Discretionary,Military/Government/Technical
ACMR,Technology,Industrial Machinery/Components
ACN,Real Estate,Real Estate
ACNB,Finance,Major Banks
ACNT,Industrials,Steel/Iron Ore
ACR,Real Estate,Real Estate Investment Trusts
ACRE,Real Estate,Real Estate Investment Trusts
ACRS,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Finance,Specialty Insurers
ACTG,Miscellaneous,Multi-Sector Companies
ACTU,Health Care,Biotechnology: Pharmaceutical Preparations
ACU,Consumer Discretionary,Industrial Machinery/Components
ACV,Finance,Finance/Investors Services
ACVA,Real Estate,Real Estate
AD,Telecommunications,Telecommunications Equipment
ADAG,Health Care,Biotechnology: Pharmaceutical Preparations
ADAM,Technology,Computer Software: Prepackaged Software
ADAMI,Real Estate,Real Estate Investment Trusts
ADAML,Real Estate,Real Estate Investment Trusts
ADAMM,Real Estate,Real Estate Investment Trusts
ADAMN,Real Estate,Real Estate Investment Trusts
ADAMZ,Real Estate,Real Estate Investment Trusts
ADBE,Technology,Computer Software: Prepackaged Software
ADC,Real Estate,Real Estate Investment Trusts
ADCT,Health Care,Biotechnology: Pharmaceutical Preparations
ADEA,Technology,Computer Software: Prepackaged Software
ADI,Technology,Semiconductors
ADM,Consumer Staples,Packaged Foods
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADNT,Consumer Discretionary,Auto Parts:O.E.M.
ADP,Industrials,Diversified Commercial Services
ADPT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,Consumer Discretionary,Industrial Specialties
ADSEW,Consumer Discretionary,Industrial Specialties
ADSK,Technology,Computer Software: Prepackaged Software
ADT,Consumer Discretionary,Diversified Commercial Services
ADTN,Utilities,Telecommunications Equipment
ADUR,Industrials,Major Chemicals
ADUS,Health Care,Medical/Nursing Services
ADV,Real Estate,Real Estate
ADVM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AEBI,Industrials,Auto Manufacturing
AEC,Basic Materials,Metal Mining
AEE,Utilities,Power Generation
AEF,Finance,Finance/Investors Services
AEG,Finance,Life Insurance
AEHR,Industrials,Electrical Products
AEI,Finance,Real Estate
AEIS,Technology,Industrial Machinery/Components
AEM,Basic Materials,Precious Metals
AENT,Consumer Discretionary,Durable Goods
AEO,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,Utilities,Electric Utilities: Central
AER,Consumer Discretionary,Diversified Commercial Services
AES,Utilities,Electric Utilities: Central
AESI,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,Technology,Computer Software: Prepackaged Software
AFBI,Finance,Banks
AFCG,Finance,Real Estate
AFG,Finance,Property-Casualty Insurers
AFGB,Finance,Property-Casualty Insurers
AFGC,Finance,Property-Casualty Insurers
AFGD,Finance,Property-Casualty Insurers
AFGE,Finance,Property-Casualty Insurers
AFL,Finance,Accident &Health Insurance
AFRI,Consumer Staples,Packaged Foods
AFRM,Finance,Finance: Consumer Services
AFYA,Real Estate,Other Consumer Services
AG,Basic Materials,Precious Metals
AGCO,Industrials,Industrial Machinery/Components
AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGH,Consumer Discretionary,Hotels/Resorts
AGI,Basic Materials,Precious Metals
AGIO,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,Health Care,Misc Health and Biotechnology Services
AGM,Finance,Finance Companies
AGNC,Real Estate,Real Estate Investment Trusts
AGNCL,Real Estate,Real Estate Investment Trusts
AGNCM,Real Estate,Real Estate Investment Trusts
AGNCN,Real Estate,Real Estate Investment Trusts
AGNCO,Real Estate,Real Estate Investment Trusts
AGNCP,Real Estate,Real Estate Investment Trusts
AGO,Finance,Property-Casualty Insurers
AGRO,Consumer Staples,Farming/Seeds/Milling
AGRZ,Consumer Staples,Farming/Seeds/Milling
AGX,Consumer Discretionary,Engineering & Construction
AGYS,Technology,EDP Services
AHCO,Health Care,Medical/Nursing Services
AHG,Real Estate,Real Estate
AHH,Finance,Real Estate
AHL,Finance,Property-Casualty Insurers
AHR,Real Estate,Real Estate Investment Trusts
AI,Technology,Computer Software: Prepackaged Software
AIFU,Finance,Specialty Insurers
AIG,Finance,Life Insurance
AII,Finance,Property-Casualty Insurers
AIIO,Industrials,Auto Manufacturing
AIN,Consumer Discretionary,Textiles
AIO,Finance,Finance/Investors Services
AIOT,Telecommunications,Telecommunications Equipment
AIP,Technology,Semiconductors
AIR,Industrials,Aerospace
AIRJ,Industrials,Industrial Machinery/Components
AIRJW,Industrials,Industrial Machinery/Components
AIRO,Industrials,Aerospace
AIRS,Health Care,Medical/Nursing Services
AIRT,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Consumer Discretionary,Air Freight/Delivery Services
AISP,Technology,Computer Software: Prepackaged Software
AISPW,Technology,Computer Software: Prepackaged Software
AIT,Consumer Discretionary,Industrial Specialties
AIV,Real Estate,Real Estate Investment Trusts
AIZ,Finance,Property-Casualty Insurers
AIZN,Finance,Property-Casualty Insurers
AJG,Finance,Specialty Insurers
AKA,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Real Estate,Real Estate
AKBA,Health Care,Biotechnology: Pharmaceutical Preparations
AKR,Real Estate,Real Estate Investment Trusts
AKRO,Health Care,Biotechnology: Pharmaceutical Preparations
AL,Consumer Discretionary,Diversified Commercial Services
ALAB,Technology,Semiconductors
ALAR,Technology,Computer Software: Prepackaged Software
ALB,Industrials,Major Chemicals
ALC,Health Care,Ophthalmic Goods
ALDX,Health Care,Biotechnology: Pharmaceutical Preparations
